participant.id_in_session,participant.code,participant.label,participant._current_app_name,participant.time_started,player.id_in_group,player.contribution,player.remaining_points,player.pointsLost,player.flagPointsLost,player.pointsWonNorms,player.automatic_decision,player.num_automatic_decisions,player.empiricalExpectations1,player.empiricalExpectations2,player.empiricalExpectations3,player.empiricalExpectations4,player.personalNormativeBeliefs1,player.personalNormativeBeliefs2,player.personalNormativeBeliefs3,player.personalNormativeBeliefs4,player.normativeExpectations1,player.normativeExpectations2,player.normativeExpectations3,player.normativeExpectations4,player.question_1,player.question_2,player.question_3,player.payoff,group.id_in_subsession,group.group_effort,group.flagGroupSuccess,subsession.round_number,session.code,team
1,p5umqf5d,0,dospert,2021-05-20,1,0.0,74,26,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,60,0,1,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,15.0,63,22,1,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2.0,1.0,3.0,0.0,1,60,0,1,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,15.0,63,22,1,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,2.0,3.0,0.0,1,60,0,1,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,30.0,52,18,1,0,0,0,40.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1,60,0,1,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,15.0,63,22,1,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,2.0,3.0,0.0,2,150,0,1,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,50.0,37,13,1,0,0,0,15.0,13.0,15.0,15.0,50.0,0.0,0.0,0.0,8.0,7.0,8.0,6.0,1.0,3.0,3.0,0.0,2,150,0,1,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,25.0,56,19,1,0,0,0,50.0,20.0,20.0,10.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0,2.0,3.0,0.0,2,150,0,1,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,60.0,30,10,1,0,0,0,30.0,20.0,40.0,10.0,30.0,30.0,30.0,10.0,10.0,20.0,40.0,30.0,3.0,1.0,3.0,0.0,2,150,0,1,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,10.0,64,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,60,0,2,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,15.0,48,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,60,0,2,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,20.0,43,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,60,0,2,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,15.0,37,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,60,0,2,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,10.0,40,13,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,40,0,2,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,40,0,2,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,0.0,42,14,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,40,0,2,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,30.0,0,0,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,40,0,2,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,10.0,54,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,50,0,3,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,15.0,33,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,50,0,3,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,20.0,23,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,50,0,3,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,5.0,32,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,50,0,3,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,5.0,35,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,3,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,3,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,10.0,32,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,3,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,15,1,3,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,0.0,40,14,1,0,0,0,,,,,,,,,,,,,,,,40.0,1,20,0,4,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,10.0,18,5,1,4,0,0,,,,,,,,,,,,,,,,18.0,1,20,0,4,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,10.0,10,3,1,4,0,0,,,,,,,,,,,,,,,,10.0,1,20,0,4,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,24,8,1,0,0,0,,,,,,,,,,,,,,,,24.0,1,20,0,4,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,0.0,35,0,0,0,0,0,,,,,,,,,,,,,,,,35.0,2,10,1,4,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,0,0,0,0,0,,,,,,,,,,,,,,,,28.0,2,10,1,4,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,10.0,22,0,0,0,0,0,,,,,,,,,,,,,,,,22.0,2,10,1,4,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,10,1,4,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,0.0,74,26,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1,79,0,5,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,20.0,60,20,1,0,0,0,20.0,30.0,20.0,10.0,20.0,30.0,20.0,10.0,15.0,15.0,15.0,15.0,,,,0.0,1,79,0,5,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,20.0,60,20,1,0,0,0,20.0,30.0,20.0,10.0,20.0,30.0,20.0,10.0,20.0,30.0,20.0,10.0,,,,0.0,1,79,0,5,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,39.0,46,15,1,0,0,0,30.0,20.0,10.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,,,,0.0,1,79,0,5,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,20.0,60,20,1,0,0,0,20.0,30.0,20.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,0.0,2,150,0,5,every_round,2
